,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
4826,81002601,Movie,Conjuring Spirit,Van M. Pham,Vietnam,2018,2014,TV-MA,112 min,112,"Horror Movies, International Movies, Thrillers",Horror Movies,"In the wake of her husband's betrayal, a novelist and mother moves to an old building, where she receives a music box and encounters a strange spirit."
4993,81154987,Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das",India,2019,2019,TV-Y7-FV,112 min,112,Children & Family Movies,Children & Family Movies,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor__ daughter from being kidnapped by the villain Zuhu!
5069,60022700,Movie,Panic Room,David Fincher,United States,2019,2002,R,112 min,112,Thrillers,Thrillers,A woman and her daughter are caught in a game of cat-and-mouse with burglars in their New York City home and are forced to retreat inside a vault.
5245,80231066,Movie,Babam ve O_lum,_agan Irmak,Turkey,2018,2005,TV-14,112 min,112,"Dramas, International Movies",Dramas,"Following Turkey's bloody coup of 1980, a widowed reporter returns to his Aegean hometown, bringing his son and a last wish for his estranged father."
23,70304988,Movie,Stonehearst Asylum,Brad Anderson,United States,2017,2014,PG-13,113 min,113,"Horror Movies, Thrillers",Horror Movies,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
226,81016326,Movie,Arisan 2,Nia Dinata,Indonesia,2018,2011,TV-14,113 min,113,"Comedies, Dramas, International Movies",Comedies,"A group of friends reunites for a vacation amid nature, where they laugh about their shared history and bond over difficult truths."
317,70105368,Movie,Rachel Getting Married,Jonathan Demme,United States,2019,2008,R,113 min,113,"Dramas, Independent Movies",Dramas,Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.
321,70058023,Movie,Superbad,Greg Mottola,United States,2019,2007,R,113 min,113,"Comedies, Cult Movies",Comedies,Two best friends' quest to buy booze for a party in the hopes of scoring with girls leads them on a series of wacky misadventures.
332,70087541,Movie,You Don't Mess with the Zohan,Dennis Dugan,United States,2019,2008,UR,113 min,113,"Action & Adventure, Comedies",Action & Adventure,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.
352,81016043,Movie,The Promise,Sophon Sakdaphisit,Thailand,2018,2017,TV-MA,113 min,113,"Horror Movies, International Movies, Thrillers",Horror Movies,"In the wake of the 1997 financial crisis, two teens whose families face bankruptcy make a suicide pact _ but one of them breaks the promise."
392,80141891,Movie,The Distinguished Citizen,"Gast_³n Duprat, Mariano Cohn","Argentina, Spain",2017,2016,TV-MA,113 min,113,"Comedies, Dramas, International Movies",Comedies,"Worried he__ lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he__ regarded as a local hero."
396,80168028,Movie,The Lost Brother,Israel Adri_¡n Caetano,"Argentina, Uruguay, Spain, France",2017,2017,TV-MA,113 min,113,"Dramas, International Movies",Dramas,"While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path."
573,80211135,Movie,Kajraare,Pooja Bhatt,India,2017,2010,TV-14,113 min,113,"Dramas, International Movies, Music & Musicals",Dramas,"A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past."
741,80174434,Movie,The Meyerowitz Stories (New and Selected),Noah Baumbach,United States,2017,2017,TV-MA,113 min,113,"Comedies, Dramas, Independent Movies",Comedies,Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father _ and his fading legacy.
1150,80107219,Movie,The Land of Cards,Qaushiq Mukherjee,India,2016,2012,TV-MA,113 min,113,"Dramas, Independent Movies, International Movies",Dramas,A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
1160,80158084,Movie,The Case for Christ,Jon Gunn,United States,2017,2017,TV-PG,113 min,113,"Dramas, Faith & Spirituality",Dramas,"Bothered by his wife's unyielding belief in Christianity, an investigative reporter sets out to use verifiable facts to poke holes in her faith."
1521,80201827,Movie,Trip to Bhangarh: Asia's Most Haunted Place,Jitender Pawar,India,2017,2014,TV-MA,113 min,113,"International Movies, Thrillers",International Movies,"To amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in Asia."
1593,80213024,Movie,Dany Boon: Des Hauts De France,Isabelle Nanty,France,2018,2018,TV-MA,113 min,113,Stand-Up Comedy,Stand-Up Comedy,"In an eclectic one-man show, French superstar Dany Boon reflects on his homeland, his first comedy gig and the challenges of parenting hostile teens."
1612,80083752,Movie,Ragini MMS 2,Bhushan Patel,India,2019,2014,TV-MA,113 min,113,"Horror Movies, International Movies",Horror Movies,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
2422,80172469,Movie,Vikings Unearthed,Harvey Lilley,United States,2017,2016,TV-PG,113 min,113,Documentaries,Documentaries,Archaeologist Sarah Parcak follows clues to early Viking explorations and discusses just what these notoriously fierce warriors were really like.
2483,70293788,Movie,Night Moves,Kelly Reichardt,United States,2019,2013,R,113 min,113,"Dramas, Independent Movies, Thrillers",Dramas,A pair of young environmentalists enlist the help of an ex-military explosives expert to carry out a dangerous act of eco-terrorism.
2572,81018067,Movie,Blood Will Tell,"Miguel Cohan, Miguel Cohan","Argentina, United States",2019,2019,TV-MA,113 min,113,"Dramas, Independent Movies, International Movies",Dramas,Family patriarch El_­as begins to unravel after the death of his wife _ which casts a suspicious light on her tragic accident.
2635,81123052,Movie,Luckee,Sanjay Jadhav,India,2019,2019,TV-14,113 min,113,"Comedies, International Movies, Romantic Movies",Comedies,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones."
2648,80131280,Movie,Sunday's Illness,Ram_³n Salazar,Spain,2018,2017,TV-14,113 min,113,"Dramas, Independent Movies, International Movies",Dramas,"Decades after being abandoned as a young child, Chiara finds her mother and asks her to spend 10 days together in a remote location."
2682,80221640,Movie,Ralph Breaks the Internet: Wreck-It Ralph 2,"Phil Johnston, Rich Moore",United States,2019,2018,PG,113 min,113,"Children & Family Movies, Comedies",Children & Family Movies,"When video-game bad guy Ralph and best friend Vanellope discover a way onto the internet, they set off on a mission to save her broken game."
2853,80025495,Movie,Dark Places,Gilles Paquet-Brenner,"United States, United Kingdom, France",2018,2015,R,113 min,113,"Dramas, International Movies, Thrillers",Dramas,"Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent."
2993,80167481,Movie,How It Ends,David M. Rosenthal,United States,2018,2018,TV-MA,113 min,113,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure,"When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fianc_©e."
3048,81121172,Movie,NOVA: Black Hole Apocalypse,Rushmore DeNooyer,United States,2019,2018,TV-G,113 min,113,Documentaries,Documentaries,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race."
3053,81121177,Movie,NOVA: Decoding the Weather Machine,Doug Hamilton,United States,2019,2018,TV-14,113 min,113,Documentaries,Documentaries,"Scientists investigate Earth__ climate machine, looking for clues across the globe, from Greenland__ ice sheet to the desert of Australia."
3065,81121189,Movie,NOVA: The Impossible Flight,"Noel Dockstader, Quinn Kanaly",United States,2019,2018,TV-PG,113 min,113,Documentaries,Documentaries,"Two adventurous pilots attempt to fly around the world without using any fuel, relying only on the power of the sun."
3097,80994424,Movie,Chicken Kokkachi,Anuranjan Premji,India,2018,2017,TV-14,113 min,113,"Comedies, International Movies",Comedies,"In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done."
3813,80011541,Movie,She's Dating the Gangster,Cathy Garcia-Molina,Philippines,2019,2014,TV-PG,113 min,113,"Dramas, International Movies, Romantic Movies",Dramas,"To make another woman jealous, a campus heartthrob asks a fellow student to be his pretend girlfriend, but fate has other plans for the fake couple."
3934,80208091,Movie,Anchor and Hope,Carlos Marques-Marcet,Spain,2019,2017,TV-MA,113 min,113,"Comedies, Dramas, LGBTQ Movies",Comedies,Kat and Eva__ happy romance hits a rough patch when Eva decides that she wants a child. Visiting friend Roger could help complete their family.
4042,80199689,Movie,Velvet Buzzsaw,Dan Gilroy,United States,2019,2019,R,113 min,113,"Dramas, Thrillers",Dramas,"A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist's stash of paintings _ with dire consequences."
4240,81213874,Movie,Vodka Diaries,Kushal Srivastava,India,2019,2018,TV-14,113 min,113,"Dramas, International Movies, Thrillers",Dramas,"While investigating a series of murders and the nightclub that links them, a detective__ case takes an alarming turn when his wife goes missing."
4405,81172911,Movie,Being Mrs Elliot,Omoni Oboli,Nigeria,2019,2014,TV-14,113 min,113,"Dramas, International Movies, Romantic Movies",Dramas,"When a scorned wife from the city shares a cab with a troubled villager, a fiery accident forces them to live out each other's lives."
4656,80017265,Movie,Don't Go Breaking My Heart 2,Johnnie To,"Hong Kong, China",2018,2014,TV-14,113 min,113,"Comedies, International Movies, Romantic Movies",Comedies,"Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise."
4679,80221317,Movie,Diana: In Her Own Words,,United Kingdom,2017,2017,TV-PG,113 min,113,"Documentaries, International Movies",Documentaries,"Featuring archival footage and personal recordings, this documentary offers candid insight into the life of the beloved princess."
4944,70177633,Movie,Undefeated,"Daniel Lindsay, T.J. Martin",United States,2017,2011,PG-13,113 min,113,"Documentaries, Sports Movies",Documentaries,An inspirational profile of an inner-city high school football team's valiant effort to reach the school's first-ever playoff game.
5249,70130142,Movie,14 Blades,Daniel Lee,"Hong Kong, China, Singapore",2019,2010,R,113 min,113,"Action & Adventure, International Movies",Action & Adventure,"In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed."
5334,80118916,Movie,Sand Castle,Fernando Coimbra,United States,2017,2017,TV-MA,113 min,113,"Action & Adventure, Dramas, Independent Movies",Action & Adventure,"After the invasion of Iraq in 2003, a reluctant soldier's platoon is dispatched on a dangerous mission to repair a hostile village's water system."
5381,80017099,Movie,A Little Chaos,Alan Rickman,United Kingdom,2019,2014,R,113 min,113,"Dramas, Independent Movies, International Movies",Dramas,"A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications."
5473,70058016,Movie,Fracture,Gregory Hoblit,"United States, Germany",2019,2007,R,113 min,113,"Dramas, Thrillers",Dramas,"Ted Crawford, who allegedly attempted to murder his wife, is now locked in a battle of wits with a young assistant district attorney."
33,80152447,Movie,C_©zanne et moi,Daniele Thompson,"Belgium, France",2017,2016,R,114 min,114,"Dramas, Independent Movies, International Movies",Dramas,"This historical drama explores the long and often volatile friendship of painter Paul C_©zanne and writer _mile Zola, who first met as schoolboys."
263,80188120,Movie,The Angel,Ariel Vromen,"Israel, United States",2018,2018,TV-MA,114 min,114,"Dramas, International Movies, Thrillers",Dramas,"As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage."
1068,81039383,Movie,Manto,Nandita Das,India,2018,2018,TV-MA,114 min,114,"Dramas, Independent Movies, International Movies",Dramas,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.
1119,60028294,Movie,Popeye,Robert Altman,United States,2019,1980,PG,114 min,114,"Action & Adventure, Children & Family Movies, Comedies",Action & Adventure,"During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive."
1123,80126449,Movie,Cuba and the Cameraman,Jon Alpert,United States,2017,2017,TV-14,114 min,114,Documentaries,Documentaries,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history.
1200,81021831,Movie,Sabrina,Rocky Soraya,Indonesia,2018,2018,TV-MA,114 min,114,"Horror Movies, International Movies",Horror Movies,A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to summon her late mother's spirit using a spooky ritual.
1334,80237420,Movie,The Workshop,Laurent Cantet,France,2018,2017,TV-MA,114 min,114,"Dramas, International Movies",Dramas,"In an old shipyard town in France, sociopolitical tensions beset a writing workshop where the instructor notices a student with a dark side."
1654,80084666,Movie,Colours of Passion,Ketan Mehta,India,2018,2008,TV-14,114 min,114,"Dramas, International Movies",Dramas,"Seeking inspiration, a young 19th-century painter finds a woman who is his love, his muse and his willing subject, but his work becomes controversial."
1904,80097361,Movie,Maya Angelou: And Still I Rise,"Bob Hercules, Rita Coburn Whack",United States,2017,2016,TV-PG,114 min,114,Documentaries,Documentaries,Poet and civil rights activist Maya Angelou is celebrated using her own words set over rare photographs and video illustrating her remarkable life.
1917,70176968,Movie,Tanu Weds Manu,Aanand Rai,India,2017,2011,TV-14,114 min,114,"Comedies, Dramas, International Movies",Comedies,"When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams _ only to discover she loves another man."
2110,80100945,Movie,Fire at Sea,Gianfranco Rosi,"Italy, France",2017,2016,TV-14,114 min,114,"Documentaries, International Movies",Documentaries,"Heartbreak, hope and nostalgia collide in this complex portrait of Lampedusa, a Mediterranean island where thousands of migrants land each year."
2313,80200047,Movie,The Boy Who Harnessed the Wind,Chiwetel Ejiofor,"United Kingdom, Malawi",2019,2019,TV-14,114 min,114,"Children & Family Movies, Dramas, Independent Movies",Children & Family Movies,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story."
2356,80184131,Movie,LA 92,"Daniel Lindsay, T.J. Martin",United States,2018,2017,R,114 min,114,Documentaries,Documentaries,Previously unseen footage is shaped into a fresh and timely retelling of the 1992 Rodney King trial _ and the verdict that sparked civil unrest.
2441,80227090,Movie,I Am Mother,Grant Sputore,Australia,2019,2019,TV-14,114 min,114,"International Movies, Sci-Fi & Fantasy, Thrillers",International Movies,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human."
2597,81110386,Movie,Krutant,Datta Mohan Bhandare,India,2019,2019,TV-14,114 min,114,"Dramas, International Movies",Dramas,"When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life."
2874,80117542,Movie,The Great Hack,"Karim Amer, Jehane Noujaim",United States,2019,2019,TV-MA,114 min,114,Documentaries,Documentaries,Explore how a data company named Cambridge Analytica came to symbolize the dark side of social media in the wake of the 2016 U.S. presidential election.
2988,80097221,Movie,Gridlocked,Allan Ungar,Canada,2016,2015,R,114 min,114,Action & Adventure,Action & Adventure,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries."
3081,18907685,Movie,Taxi Driver,Martin Scorsese,United States,2019,1976,R,114 min,114,"Classic Movies, Dramas, Thrillers",Classic Movies,"Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker."
3116,70125939,Movie,Paying Guests,Paritosh Painter,India,2018,2009,TV-14,114 min,114,"Comedies, International Movies",Comedies,"Desperate for a place to live, twentysomething bachelors Parikshit, Jayesh, Parag and Bhavesh finally locate a house to rent, only to learn that the landlords will consider married applicants only."
3125,70098332,Movie,Traitor,Jeffrey Nachmanoff,United States,2018,2008,PG-13,114 min,114,"Dramas, Thrillers",Dramas,An FBI agent assigned to pursue an ex-Special Ops soldier who joined a terrorist organization begins to question his target's true intentions.
3176,80106139,Movie,Suicide (Hitabdut),Benny Fredman,Israel,2016,2014,NR,114 min,114,"International Movies, Thrillers",International Movies,"A failed businessman must kill himself to pay off a loan shark or his family will die, but a detective discovers the case turns on a shocking secret."
3268,81057249,Movie,Nathicharami,Mansore,India,2019,2018,TV-14,114 min,114,"Dramas, Independent Movies, International Movies",Dramas,"Reeling from the loss of her husband, a widow struggles to fulfill her physical and emotional desires despite social taboos around female sexuality."
3636,70307648,Movie,Trash,Stephen Daldry,"United Kingdom, Brazil, Germany",2019,2014,R,114 min,114,"Dramas, Independent Movies, Thrillers",Dramas,"Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right."
3675,80138615,Movie,Now More Than Ever: The History of Chicago,Peter Pardini,United States,2018,2016,TV-MA,114 min,114,"Documentaries, Music & Musicals",Documentaries,"This rockumentary tells the behind-the-scenes story of the Hall-of-Fame band Chicago, from their jazz-rock fusion roots to chart-topping pop hits."
3922,80013271,Movie,Black Sea,Kevin MacDonald,"United Kingdom, United States, Russia",2019,2015,R,114 min,114,"Action & Adventure, Dramas, International Movies",Action & Adventure,"A hard-driving submarine captain is hired to steal gold from a sunken Nazi sub, but there's no honor among thieves during this underwater heist."
4183,81213889,Movie,Bhoot,Ram Gopal Varma,India,2019,2003,TV-MA,114 min,114,"Horror Movies, International Movies, Thrillers",Horror Movies,"After a couple moves into an apartment, the wife__ increasingly disturbing behavior unravels chilling secrets about their new home__ past."
4223,896678,Movie,Red Dawn,John Milius,United States,2019,1984,PG-13,114 min,114,"Action & Adventure, Cult Movies",Action & Adventure,A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.
4761,80044888,Movie,Crazy Beautiful You,Mae Czarina Cruz,Philippines,2019,2015,TV-PG,114 min,114,"Comedies, Dramas, International Movies",Comedies,A rebellious daughter accompanies her mother on a medical mission where she falls for the handsome politician's son assigned to be her chaperone.
4899,80115686,Movie,Dhanak,Nagesh Kukunoor,India,2016,2015,TV-PG,114 min,114,"Comedies, Dramas, Independent Movies",Comedies,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
4950,80173606,Movie,The Motive,Manuel Mart_­n Cuenca,"Spain, Mexico",2018,2017,TV-MA,114 min,114,"Comedies, Dramas, International Movies",Comedies,An aspiring writer with no imagination seeks inspiration for his novel by manipulating the lives of his neighbors so that he can write about them.
5155,80081374,Movie,Un plus une,Claude Lelouch,France,2017,2015,TV-MA,114 min,114,"Comedies, Dramas, International Movies",Comedies,"A womanizing musician travels to India, where he composes a Bollywood film score and unexpectedly falls for the wife of the French ambassador."
5302,81035878,Movie,The Consul's Son,Amr Arafa,Egypt,2019,2011,TV-14,114 min,114,"Comedies, International Movies, Thrillers",Comedies,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.
523,81025088,Movie,W/O Ram,Vijay Yelakanti,India,2018,2018,TV-MA,115 min,115,"Dramas, International Movies, Thrillers",Dramas,"Frustrated with the stalled investigation into her husband's murder, a woman searches for the killer on her own, putting herself in grave danger."
570,70170182,Movie,Aashayein,Nagesh Kukunoor,India,2017,2010,TV-14,115 min,115,"Dramas, International Movies",Dramas,"When he learns he has terminal cancer, a cynical gambler and chronic smoker ditches his fianc_©e, snubs doctors and checks into a nursing home to die."
894,81024729,Movie,Nasha,Amit Saxena,India,2018,2013,TV-MA,115 min,115,"Dramas, International Movies, Romantic Movies",Dramas,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out."
1298,80122177,Movie,The Giant,"Aitor Arregi, Jon Gara_±o",Spain,2018,2017,TV-MA,115 min,115,"Dramas, International Movies",Dramas,"In 1843, crippled Martin returns from war to his Basque hometown and finds his brother has grown into a giant, which they turn into a circus act."
1371,542137,Movie,Gigi,"Vincente Minnelli, Charles Walters",United States,2019,1958,G,115 min,115,"Classic Movies, Comedies, Music & Musicals",Classic Movies,Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.
1497,80203778,Movie,Beiimaan Love,Rajeev Chaudhari,India,2017,2016,TV-MA,115 min,115,"Dramas, International Movies, Romantic Movies",Dramas,"After having her heart broken by a man who seduced her at a party, a young, ambitious woman concocts a scheme to get revenge."
2066,80222896,Movie,Birdshot,Mikhail Red,"Philippines, Qatar",2018,2016,TV-MA,115 min,115,"Dramas, International Movies, Thrillers",Dramas,"A sheltered farm girl inadvertently shoots an endangered Philippine eagle, setting off a police investigation that exposes violence and corruption."
2102,80162503,Movie,The Super Parental Guardians,Joyce Bernal,Philippines,2019,2016,TV-14,115 min,115,"Action & Adventure, Comedies, International Movies",Action & Adventure,"Following his best friend's death, Arci takes charge of her two boisterous children with some help from their gang-affiliated uncle."
2106,80157890,Movie,Vince and Kath and James,Theodore Boborol,Philippines,2019,2016,TV-PG,115 min,115,"International Movies, Romantic Movies",International Movies,"Love can be complicated, especially when Vince agrees to secretly woo Kath via text on behalf of James _ while falling for her, too."
2186,81031178,Movie,Paskal,Adrian Teh,Malaysia,2019,2018,TV-14,115 min,115,"Action & Adventure, Dramas, International Movies",Action & Adventure,Naval unit PASKAL is among the most elite special forces in Malaysia. But all bets are off when one of its own stages a hijacking. Based on true events.
2209,80238298,Movie,Ranbhool,Girish Joshi,India,2018,2010,TV-MA,115 min,115,"Horror Movies, International Movies, Thrillers",Horror Movies,"Believing himself to be God's envoy, a troubled young man embarks on a killing spree as his passion for music becomes a psychotic obsession."
2215,80237300,Movie,The Art of Loving,Maria Sadowska,Poland,2018,2017,TV-MA,115 min,115,"Dramas, International Movies",Dramas,"During Communist rule, a Polish gynecologist and sexologist defies taboo and fights to publish her groundbreaking book on love and sex."
2375,80188777,Movie,Shuddhi,Adarsh Eshwarappa,"India, United States",2018,2017,TV-14,115 min,115,"Dramas, International Movies, Thrillers",Dramas,An American woman on a revenge mission travels to India and befriends two journalists seeking justice for violent crimes against women.
2411,80144119,Movie,My Honor Was Loyalty,Alessandro Pepe,Italy,2017,2015,,115 min,115,Dramas,Dramas,"Amid the chaos and horror of World War II, a committed German soldier fights a private battle with his own conscience."
3122,80206917,Movie,The Music of Silence,Michael Radford,Italy,2018,2017,TV-PG,115 min,115,"Dramas, International Movies, Music & Musicals",Dramas,"Based on the autobiography by tenor Andrea Bocelli, this musical biopic chronicles his life from his bumpy childhood to his meteoric rise to fame."
3210,81037985,Movie,Love You... Love You Not,Sridhar Jetty,Indonesia,2019,2015,TV-14,115 min,115,"Comedies, International Movies, Romantic Movies",Comedies,A love triangle gets complicated when a female English tutor unknowingly gets between a hot-tempered guy and his off-to-the-United States girlfriend.
3623,81045060,Movie,Merku Thodarchi Malai,Lenin Bharathi,India,2019,2018,TV-MA,115 min,115,"Dramas, Independent Movies, International Movies",Dramas,"In southern India, a laborer's dreams of owning a piece of land to farm is complicated by political corruption."
3681,80202908,Movie,Shahanpan Dega Deva,Sudesh Manjrekar,India,2018,2011,TV-14,115 min,115,"Comedies, International Movies",Comedies,"At large in the city, five inmates of a mental asylum run up against the insanity of the outside world while trying to prevent a terrorist plot."
3956,70109378,Movie,Ugly Aur Pagli,Sachin Kamlakar Khot,India,2019,2008,TV-14,115 min,115,"Comedies, International Movies, Romantic Movies",Comedies,"Everyday guy Kabir is thrown for a loop when he meets Kuhu, a freewheeling party girl. Now, he's a changed man, dancing, running half-naked through the streets and donning ladies' shoes at her whim."
4134,81172758,Movie,Slow Country,Eric Aghimien,Nigeria,2019,2017,TV-MA,115 min,115,"Dramas, International Movies",Dramas,"Desperate to leave a life of prostitution, a teenage mother attempts to outsmart her ruthless boss who is determined to keep his prized asset."
4210,24073896,Movie,Koshish,Gulzar,India,2019,1972,TV-14,115 min,115,"International Movies, Romantic Movies",International Movies,A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
4341,80098103,Movie,The Innocents,Anne Fontaine,"France, Poland",2018,2016,PG-13,115 min,115,"Dramas, International Movies",Dramas,"At the end of World War II, a French doctor with the Red Cross treats nuns at a Polish convent who were raped and impregnated by Russian soldiers."
4422,80142140,Movie,Daemonium,Pablo Par_©s,Argentina,2016,2015,NR,115 min,115,"Action & Adventure, Horror Movies, International Movies",Action & Adventure,"In a realm where magic and technology intersect, a shifty, cigar-smoking wizard finds himself in the middle of a war with the powers of hell."
4655,81030198,Movie,Don't Go Breaking My Heart,Johnnie To,Hong Kong,2018,2011,TV-PG,115 min,115,"Comedies, International Movies, Romantic Movies",Comedies,"A financial analyst succumbs to a love triangle with a hard-drinking architect and a promiscuous investment bro, who soon becomes her boss."
5066,80014727,Movie,Last Knights,Kazuaki Kiriya,"United Kingdom, South Korea",2019,2015,R,115 min,115,Action & Adventure,Action & Adventure,A nobleman who values his people's well-being over his emperor's edicts is killed. His knights vow revenge.
5116,81013200,Movie,Sudani from Nigeria,Zakariya,India,2018,2018,TV-PG,115 min,115,"Comedies, Dramas, International Movies",Comedies,"When a soccer club manager brings one of his injured foreign players home to recuperate, they form an unlikely bond despite their cultural differences."
5223,80231064,Movie,Ali Baba ve 7 C_¼celer,Cem Y_±lmaz,Turkey,2018,2015,TV-MA,115 min,115,"Action & Adventure, Comedies, International Movies",Action & Adventure,"A garden gnome vendor and his brother-in-law attend a trade fair in Sofia, where they accidentally stumble into shenanigans involving a mafia boss."
5247,80175333,Movie,Running Shaadi,Amit Roy,India,2018,2017,TV-14,115 min,115,"Comedies, International Movies, Romantic Movies",Comedies,"A Bihari migrant runs a successful service to help couples elope, until the daughter of his former boss stirs the pot."
47,80158838,Movie,I Fine... Thank You... Love You,Mez Tharatorn,Thailand,2018,2014,TV-14,116 min,116,"Comedies, International Movies, Romantic Movies",Comedies,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
102,80231903,Movie,In the Shadow of the Moon,Jim Mickle,United States,2019,2019,TV-MA,116 min,116,"Dramas, Sci-Fi & Fantasy, Thrillers",Dramas,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.
171,80203776,Movie,Bitcoin Heist,Ham Tran,Vietnam,2017,2016,TV-14,116 min,116,"Action & Adventure, Comedies, International Movies",Action & Adventure,"A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."""
326,1153194,Movie,The Saint,Phillip Noyce,United States,2019,1997,PG-13,116 min,116,"Action & Adventure, Romantic Movies",Action & Adventure,"Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret."
478,70067230,Movie,My Brother ... Nikhil,Onir,India,2018,2005,TV-PG,116 min,116,"Dramas, Independent Movies, International Movies",Dramas,"After being diagnosed HIV-positive, a champion swimmer is disowned and harassed by all except his loving sister and loyal boyfriend."
960,80198687,Movie,The President's Barber,Chan-sang Lim,South Korea,2017,2004,TV-MA,116 min,116,"Comedies, Dramas, International Movies",Comedies,"The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s."
1032,81034600,Movie,Shadow,Zhang Yimou,"China, Hong Kong",2019,2018,TV-MA,116 min,116,"Action & Adventure, Dramas, International Movies",Action & Adventure,"As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court."
1168,70053833,Movie,Black Snake Moan,Craig Brewer,United States,2019,2007,R,116 min,116,"Dramas, Independent Movies",Dramas,"Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons."
1217,81020531,Movie,Ana e Vit_³ria,Matheus Souza,Brazil,2018,2018,TV-14,116 min,116,"Comedies, International Movies, LGBTQ Movies",Comedies,"After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
1380,80153894,Movie,How to Be a Latin Lover,Ken Marino,"Mexico, United States",2019,2017,PG-13,116 min,116,Comedies,Comedies,"When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor."
1387,70111489,Movie,Listen Up! The Lives of Quincy Jones,Ellen Weissbrod,,2019,1990,TV-14,116 min,116,"Documentaries, Music & Musicals",Documentaries,"Steering clear of convention, this affecting documentary pays tribute to the life and work of composer, musician and producer Quincy Jones, one of the best-known and most respected men in the music industry."
